BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
15-521-65,RD BLOCK,,KUSHALNAGAR,KODAGU,KA,571234,India
,"STREET, ST STREET",,,KOLKATA,WB,700009,India
1,ROAD,,,GURGAON,,122102,India
,,,KALA KUNJ RATHI NAGAR,AMRAVATI,MH,444603,India
,STREET,,,CHENNAI,TN,600059,India
,,,PRATAP NAGAR,DELHI,DL,110091,India
,ROAD,,,HASANPARTHY,TS,506015,India
4,"RD FLOOR, STRI",,SHASTRI NAGAR,NEW DELHI,DL,110052,India
,,,,MUMBAI,MH,400026,India
387,"RD FLOOR, ROAD",,PANDIT COLONY,NASHIK,,422005,India
,"ROAD, ST FLOOR, STRIAL ESTATE TEJPAL COMPOUND A K ROAD",,,MUMBAI,MH,400072,India
,ROAD,,,AHMEDABAD,GJ,382481,India
126,,,,COIMBATORE,TN,641018,India
,,,,VADODARA,GJ,390007,India
322,,,PLOT NO  323 VISION INDUSTRIAL PARK CHANGA JAMNAGAR,JAMNAGAR,GJ,361012,India
,,,5/335 GRAOUND FLOOR ASHOK NAGAR,KARUR,TN,639002,India
305,,SHIVAJI PARK,,KACHCHH,GJ,370201,India
46/47/55,SECTOR 11,,SECTOR 11,THANE,MH,400614,India
99/P1,,,,RAJKOT,GJ,363621,India
,,,LBS NAGAR,RAICHUR,KA,584102,India
,,,,DELHI,DL,110025,India
R-35,,,SECTO,SONEPAT,HR,131001,India
,,,,KANNAUJ,UP,209725,India
381,ROAD,,UDHAM SINGH NAGAR,KASHIPUR,UK,244713,India
,,,,POLLACHI,,642205,India
119/6,,,,WEST GODAVARI,AP,534275,India
220-221,SECTOR 79 MOHALI IN-PB IN 160059,,SECTOR 79 MOHALI IN-PB IN 160059,MOHALI,PB,160059,India
D-45,SECTOR-63,,GAUTAMBUDDHA NAGAR,NOIDA,UP,201301,India
437,,,CHHATRAPATI SAMBHAJI NAGAR,AURANGABAD,MH,431007,India
D-182,ROAD,,,PONDICHERRY,PY,605004,India
108,"STRIAL PARK, SECTOR-2 OPP. ZYDUS CADILA PHARMA SARKHEJ BAVLA NATIONAL HIGHWAY",,SECTOR-2 OPP. ZYDUS CADILA PHARMA SARKHEJ BAVLA NATIONAL HIGHWAY,AHMEDABAD,,382213,India
,,,,LIMKHEDA,,389140,India
,,,,AYODHYA,UP,224001,India
